date,master_category,target_daily_category_amount,transaction_count,avg_transaction_amount,day_of_week,day_of_month,month,year,week_of_year,year_month,is_weekend,is_payday,is_month_start,is_month_end,days_until_month_end,amount_lag_1,amount_lag_7,rolling_mean_7,rolling_sum_7,rolling_mean_14,rolling_sum_30,month_to_date_amount_before_today,daily_total_amount
2025-01-21,Hobi & Self-Reward,0.0,0.0,0.0,1,21,1,2025,4,2025-01,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97900.0
2025-01-22,Hobi & Self-Reward,0.0,0.0,0.0,2,22,1,2025,4,2025-01,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85500.0
2025-01-23,Hobi & Self-Reward,22800.0,1.0,22800.0,3,23,1,2025,4,2025-01,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113300.0
2025-01-24,Hobi & Self-Reward,0.0,0.0,0.0,4,24,1,2025,4,2025-01,0,0,0,0,7,22800.0,0.0,3257.1428571428573,22800.0,1628.5714285714287,22800.0,22800.0,85500.0
2025-01-25,Hobi & Self-Reward,0.0,0.0,0.0,5,25,1,2025,4,2025-01,1,0,0,0,6,0.0,0.0,3257.1428571428573,22800.0,1628.5714285714287,22800.0,22800.0,85500.0
2025-01-26,Hobi & Self-Reward,0.0,0.0,0.0,6,26,1,2025,4,2025-01,1,0,0,0,5,0.0,0.0,3257.1428571428573,22800.0,1628.5714285714287,22800.0,22800.0,90500.0
2025-01-27,Hobi & Self-Reward,0.0,0.0,0.0,0,27,1,2025,5,2025-01,0,0,0,0,4,0.0,0.0,3257.1428571428573,22800.0,1628.5714285714287,22800.0,22800.0,90500.0
2025-01-28,Hobi & Self-Reward,0.0,0.0,0.0,1,28,1,2025,5,2025-01,0,0,0,0,3,0.0,0.0,3257.1428571428573,22800.0,1628.5714285714287,22800.0,22800.0,90500.0
2025-01-29,Hobi & Self-Reward,0.0,0.0,0.0,2,29,1,2025,5,2025-01,0,0,0,0,2,0.0,0.0,3257.1428571428573,22800.0,1628.5714285714287,22800.0,22800.0,90500.0
2025-01-30,Hobi & Self-Reward,0.0,0.0,0.0,3,30,1,2025,5,2025-01,0,0,0,0,1,0.0,22800.0,3257.1428571428573,22800.0,1628.5714285714287,22800.0,22800.0,94000.0
2025-01-31,Hobi & Self-Reward,0.0,0.0,0.0,4,31,1,2025,5,2025-01,0,0,0,1,0,0.0,0.0,0.0,0.0,1628.5714285714287,22800.0,22800.0,108400.0
2025-02-01,Hobi & Self-Reward,34500.0,1.0,34500.0,5,1,2,2025,5,2025-02,1,1,1,0,27,0.0,0.0,0.0,0.0,1628.5714285714287,22800.0,0.0,2085028.0
2025-02-02,Hobi & Self-Reward,0.0,0.0,0.0,6,2,2,2025,5,2025-02,1,1,0,0,26,34500.0,0.0,4928.571428571428,34500.0,4092.8571428571427,57300.0,34500.0,90500.0
2025-02-03,Hobi & Self-Reward,0.0,0.0,0.0,0,3,2,2025,6,2025-02,0,1,0,0,25,0.0,0.0,4928.571428571428,34500.0,4092.8571428571427,57300.0,34500.0,98000.0
2025-02-04,Hobi & Self-Reward,0.0,0.0,0.0,1,4,2,2025,6,2025-02,0,0,0,0,24,0.0,0.0,4928.571428571428,34500.0,4092.8571428571427,57300.0,34500.0,90500.0
2025-02-05,Hobi & Self-Reward,0.0,0.0,0.0,2,5,2,2025,6,2025-02,0,0,0,0,23,0.0,0.0,4928.571428571428,34500.0,4092.8571428571427,57300.0,34500.0,118900.0
2025-02-06,Hobi & Self-Reward,0.0,0.0,0.0,3,6,2,2025,6,2025-02,0,0,0,0,22,0.0,0.0,4928.571428571428,34500.0,4092.8571428571427,57300.0,34500.0,90500.0
2025-02-07,Hobi & Self-Reward,0.0,0.0,0.0,4,7,2,2025,6,2025-02,0,0,0,0,21,0.0,0.0,4928.571428571428,34500.0,2464.285714285714,57300.0,34500.0,90500.0
2025-02-08,Hobi & Self-Reward,0.0,0.0,0.0,5,8,2,2025,6,2025-02,1,0,0,0,20,0.0,34500.0,4928.571428571428,34500.0,2464.285714285714,57300.0,34500.0,104700.0
2025-02-09,Hobi & Self-Reward,0.0,0.0,0.0,6,9,2,2025,6,2025-02,1,0,0,0,19,0.0,0.0,0.0,0.0,2464.285714285714,57300.0,34500.0,106900.0
2025-02-10,Hobi & Self-Reward,0.0,0.0,0.0,0,10,2,2025,7,2025-02,0,0,0,0,18,0.0,0.0,0.0,0.0,2464.285714285714,57300.0,34500.0,140400.0
2025-02-11,Hobi & Self-Reward,0.0,0.0,0.0,1,11,2,2025,7,2025-02,0,0,0,0,17,0.0,0.0,0.0,0.0,2464.285714285714,57300.0,34500.0,115500.0
2025-02-12,Hobi & Self-Reward,0.0,0.0,0.0,2,12,2,2025,7,2025-02,0,0,0,0,16,0.0,0.0,0.0,0.0,2464.285714285714,57300.0,34500.0,135400.0
2025-02-13,Hobi & Self-Reward,0.0,0.0,0.0,3,13,2,2025,7,2025-02,0,0,0,0,15,0.0,0.0,0.0,0.0,2464.285714285714,57300.0,34500.0,98000.0
2025-02-14,Hobi & Self-Reward,0.0,0.0,0.0,4,14,2,2025,7,2025-02,0,0,0,0,14,0.0,0.0,0.0,0.0,2464.285714285714,57300.0,34500.0,97500.0
2025-02-15,Hobi & Self-Reward,0.0,0.0,0.0,5,15,2,2025,7,2025-02,1,0,0,0,13,0.0,0.0,0.0,0.0,2464.285714285714,57300.0,34500.0,106200.0
2025-02-16,Hobi & Self-Reward,0.0,0.0,0.0,6,16,2,2025,7,2025-02,1,0,0,0,12,0.0,0.0,0.0,0.0,0.0,57300.0,34500.0,111700.0
2025-02-17,Hobi & Self-Reward,0.0,0.0,0.0,0,17,2,2025,8,2025-02,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,57300.0,34500.0,93200.0
2025-02-18,Hobi & Self-Reward,123000.0,1.0,123000.0,1,18,2,2025,8,2025-02,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,57300.0,34500.0,228400.0
2025-02-19,Hobi & Self-Reward,0.0,0.0,0.0,2,19,2,2025,8,2025-02,0,0,0,0,9,123000.0,0.0,17571.428571428572,123000.0,8785.714285714286,180300.0,157500.0,99000.0
2025-02-20,Hobi & Self-Reward,0.0,0.0,0.0,3,20,2,2025,8,2025-02,0,0,0,0,8,0.0,0.0,17571.428571428572,123000.0,8785.714285714286,180300.0,157500.0,115500.0
2025-02-21,Hobi & Self-Reward,0.0,0.0,0.0,4,21,2,2025,8,2025-02,0,0,0,0,7,0.0,0.0,17571.428571428572,123000.0,8785.714285714286,180300.0,157500.0,162500.0
2025-02-22,Hobi & Self-Reward,0.0,0.0,0.0,5,22,2,2025,8,2025-02,1,0,0,0,6,0.0,0.0,17571.428571428572,123000.0,8785.714285714286,180300.0,157500.0,121500.0
2025-02-23,Hobi & Self-Reward,0.0,0.0,0.0,6,23,2,2025,8,2025-02,1,0,0,0,5,0.0,0.0,17571.428571428572,123000.0,8785.714285714286,157500.0,157500.0,130900.0
2025-02-24,Hobi & Self-Reward,0.0,0.0,0.0,0,24,2,2025,9,2025-02,0,0,0,0,4,0.0,0.0,17571.428571428572,123000.0,8785.714285714286,157500.0,157500.0,154900.0
2025-02-25,Hobi & Self-Reward,0.0,0.0,0.0,1,25,2,2025,9,2025-02,0,0,0,0,3,0.0,123000.0,17571.428571428572,123000.0,8785.714285714286,157500.0,157500.0,90500.0
2025-02-26,Hobi & Self-Reward,0.0,0.0,0.0,2,26,2,2025,9,2025-02,0,0,0,0,2,0.0,0.0,0.0,0.0,8785.714285714286,157500.0,157500.0,116900.0
2025-02-27,Hobi & Self-Reward,0.0,0.0,0.0,3,27,2,2025,9,2025-02,0,0,0,0,1,0.0,0.0,0.0,0.0,8785.714285714286,157500.0,157500.0,107500.0
2025-02-28,Hobi & Self-Reward,0.0,0.0,0.0,4,28,2,2025,9,2025-02,0,0,0,1,0,0.0,0.0,0.0,0.0,8785.714285714286,157500.0,157500.0,85500.0
2025-03-01,Hobi & Self-Reward,0.0,0.0,0.0,5,1,3,2025,9,2025-03,1,1,1,0,30,0.0,0.0,0.0,0.0,8785.714285714286,157500.0,0.0,2059528.0
2025-03-02,Hobi & Self-Reward,0.0,0.0,0.0,6,2,3,2025,9,2025-03,1,1,0,0,29,0.0,0.0,0.0,0.0,8785.714285714286,157500.0,0.0,105500.0
2025-03-03,Hobi & Self-Reward,0.0,0.0,0.0,0,3,3,2025,10,2025-03,0,1,0,0,28,0.0,0.0,0.0,0.0,8785.714285714286,157500.0,0.0,85500.0
2025-03-04,Hobi & Self-Reward,0.0,0.0,0.0,1,4,3,2025,10,2025-03,0,0,0,0,27,0.0,0.0,0.0,0.0,8785.714285714286,123000.0,0.0,93000.0
2025-03-05,Hobi & Self-Reward,0.0,0.0,0.0,2,5,3,2025,10,2025-03,0,0,0,0,26,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,146000.0
2025-03-06,Hobi & Self-Reward,0.0,0.0,0.0,3,6,3,2025,10,2025-03,0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,93200.0
2025-03-07,Hobi & Self-Reward,0.0,0.0,0.0,4,7,3,2025,10,2025-03,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,160000.0
2025-03-08,Hobi & Self-Reward,0.0,0.0,0.0,5,8,3,2025,10,2025-03,1,0,0,0,23,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,125400.0
2025-03-09,Hobi & Self-Reward,0.0,0.0,0.0,6,9,3,2025,10,2025-03,1,0,0,0,22,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,98600.0
2025-03-10,Hobi & Self-Reward,0.0,0.0,0.0,0,10,3,2025,11,2025-03,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,98800.0
2025-03-11,Hobi & Self-Reward,0.0,0.0,0.0,1,11,3,2025,11,2025-03,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,100500.0
2025-03-12,Hobi & Self-Reward,0.0,0.0,0.0,2,12,3,2025,11,2025-03,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,100400.0
2025-03-13,Hobi & Self-Reward,0.0,0.0,0.0,3,13,3,2025,11,2025-03,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,120500.0
2025-03-14,Hobi & Self-Reward,0.0,0.0,0.0,4,14,3,2025,11,2025-03,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,90500.0
2025-03-15,Hobi & Self-Reward,0.0,0.0,0.0,5,15,3,2025,11,2025-03,1,0,0,0,16,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,189500.0
2025-03-16,Hobi & Self-Reward,0.0,0.0,0.0,6,16,3,2025,11,2025-03,1,0,0,0,15,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,126400.0
2025-03-17,Hobi & Self-Reward,0.0,0.0,0.0,0,17,3,2025,12,2025-03,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,90500.0
2025-03-18,Hobi & Self-Reward,0.0,0.0,0.0,1,18,3,2025,12,2025-03,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,140400.0
2025-03-19,Hobi & Self-Reward,0.0,0.0,0.0,2,19,3,2025,12,2025-03,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,85500.0
2025-03-20,Hobi & Self-Reward,0.0,0.0,0.0,3,20,3,2025,12,2025-03,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,123000.0,0.0,93400.0
2025-03-21,Hobi & Self-Reward,0.0,0.0,0.0,4,21,3,2025,12,2025-03,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131400.0
2025-03-22,Hobi & Self-Reward,0.0,0.0,0.0,5,22,3,2025,12,2025-03,1,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99400.0
2025-03-23,Hobi & Self-Reward,0.0,0.0,0.0,6,23,3,2025,12,2025-03,1,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105400.0
2025-03-24,Hobi & Self-Reward,0.0,0.0,0.0,0,24,3,2025,13,2025-03,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120500.0
2025-03-25,Hobi & Self-Reward,0.0,0.0,0.0,1,25,3,2025,13,2025-03,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155000.0
2025-03-26,Hobi & Self-Reward,0.0,0.0,0.0,2,26,3,2025,13,2025-03,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111400.0
2025-03-27,Hobi & Self-Reward,0.0,0.0,0.0,3,27,3,2025,13,2025-03,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98000.0
2025-03-28,Hobi & Self-Reward,0.0,0.0,0.0,4,28,3,2025,13,2025-03,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106400.0
2025-03-29,Hobi & Self-Reward,0.0,0.0,0.0,5,29,3,2025,13,2025-03,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108600.0
2025-03-30,Hobi & Self-Reward,0.0,0.0,0.0,6,30,3,2025,13,2025-03,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133100.0
2025-03-31,Hobi & Self-Reward,0.0,0.0,0.0,0,31,3,2025,14,2025-03,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108400.0
2025-04-01,Hobi & Self-Reward,0.0,0.0,0.0,1,1,4,2025,14,2025-04,0,1,1,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2053028.0
2025-04-02,Hobi & Self-Reward,0.0,0.0,0.0,2,2,4,2025,14,2025-04,0,1,0,0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90500.0
2025-04-03,Hobi & Self-Reward,0.0,0.0,0.0,3,3,4,2025,14,2025-04,0,1,0,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107500.0
2025-04-04,Hobi & Self-Reward,0.0,0.0,0.0,4,4,4,2025,14,2025-04,0,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166500.0
2025-04-05,Hobi & Self-Reward,0.0,0.0,0.0,5,5,4,2025,14,2025-04,1,0,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110400.0
2025-04-06,Hobi & Self-Reward,0.0,0.0,0.0,6,6,4,2025,14,2025-04,1,0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90500.0
2025-04-07,Hobi & Self-Reward,0.0,0.0,0.0,0,7,4,2025,15,2025-04,0,0,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109400.0
2025-04-08,Hobi & Self-Reward,0.0,0.0,0.0,1,8,4,2025,15,2025-04,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109100.0
2025-04-09,Hobi & Self-Reward,0.0,0.0,0.0,2,9,4,2025,15,2025-04,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106500.0
2025-04-10,Hobi & Self-Reward,0.0,0.0,0.0,3,10,4,2025,15,2025-04,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203000.0
2025-04-11,Hobi & Self-Reward,0.0,0.0,0.0,4,11,4,2025,15,2025-04,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310500.0
2025-04-12,Hobi & Self-Reward,0.0,0.0,0.0,5,12,4,2025,15,2025-04,1,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90500.0
2025-04-13,Hobi & Self-Reward,0.0,0.0,0.0,6,13,4,2025,15,2025-04,1,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109500.0
2025-04-14,Hobi & Self-Reward,0.0,0.0,0.0,0,14,4,2025,16,2025-04,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90500.0
2025-04-15,Hobi & Self-Reward,0.0,0.0,0.0,1,15,4,2025,16,2025-04,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90500.0
2025-04-16,Hobi & Self-Reward,0.0,0.0,0.0,2,16,4,2025,16,2025-04,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90500.0
2025-04-17,Hobi & Self-Reward,0.0,0.0,0.0,3,17,4,2025,16,2025-04,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96000.0
2025-04-18,Hobi & Self-Reward,0.0,0.0,0.0,4,18,4,2025,16,2025-04,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85500.0
2025-04-19,Hobi & Self-Reward,0.0,0.0,0.0,5,19,4,2025,16,2025-04,1,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85500.0
2025-04-20,Hobi & Self-Reward,0.0,0.0,0.0,6,20,4,2025,16,2025-04,1,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96400.0
2025-04-21,Hobi & Self-Reward,0.0,0.0,0.0,0,21,4,2025,17,2025-04,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90500.0
2025-04-22,Hobi & Self-Reward,0.0,0.0,0.0,1,22,4,2025,17,2025-04,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85500.0
2025-04-23,Hobi & Self-Reward,0.0,0.0,0.0,2,23,4,2025,17,2025-04,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90500.0
2025-04-24,Hobi & Self-Reward,165000.0,1.0,165000.0,3,24,4,2025,17,2025-04,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255500.0
2025-04-25,Hobi & Self-Reward,0.0,0.0,0.0,4,25,4,2025,17,2025-04,0,0,0,0,5,165000.0,0.0,23571.428571428572,165000.0,11785.714285714286,165000.0,165000.0,90500.0
2025-04-26,Hobi & Self-Reward,0.0,0.0,0.0,5,26,4,2025,17,2025-04,1,0,0,0,4,0.0,0.0,23571.428571428572,165000.0,11785.714285714286,165000.0,165000.0,90500.0
2025-04-27,Hobi & Self-Reward,0.0,0.0,0.0,6,27,4,2025,17,2025-04,1,0,0,0,3,0.0,0.0,23571.428571428572,165000.0,11785.714285714286,165000.0,165000.0,85500.0
2025-04-28,Hobi & Self-Reward,0.0,0.0,0.0,0,28,4,2025,18,2025-04,0,0,0,0,2,0.0,0.0,23571.428571428572,165000.0,11785.714285714286,165000.0,165000.0,132500.0
2025-04-29,Hobi & Self-Reward,0.0,0.0,0.0,1,29,4,2025,18,2025-04,0,0,0,0,1,0.0,0.0,23571.428571428572,165000.0,11785.714285714286,165000.0,165000.0,93400.0
2025-04-30,Hobi & Self-Reward,0.0,0.0,0.0,2,30,4,2025,18,2025-04,0,0,0,1,0,0.0,0.0,23571.428571428572,165000.0,11785.714285714286,165000.0,165000.0,90500.0
2025-05-01,Hobi & Self-Reward,0.0,0.0,0.0,3,1,5,2025,18,2025-05,0,1,1,0,30,0.0,165000.0,23571.428571428572,165000.0,11785.714285714286,165000.0,0.0,2158528.0
2025-05-02,Hobi & Self-Reward,0.0,0.0,0.0,4,2,5,2025,18,2025-05,0,1,0,0,29,0.0,0.0,0.0,0.0,11785.714285714286,165000.0,0.0,90500.0
2025-05-03,Hobi & Self-Reward,0.0,0.0,0.0,5,3,5,2025,18,2025-05,1,1,0,0,28,0.0,0.0,0.0,0.0,11785.714285714286,165000.0,0.0,102400.0
2025-05-04,Hobi & Self-Reward,0.0,0.0,0.0,6,4,5,2025,18,2025-05,1,0,0,0,27,0.0,0.0,0.0,0.0,11785.714285714286,165000.0,0.0,90500.0
2025-05-05,Hobi & Self-Reward,0.0,0.0,0.0,0,5,5,2025,19,2025-05,0,0,0,0,26,0.0,0.0,0.0,0.0,11785.714285714286,165000.0,0.0,116900.0
2025-05-06,Hobi & Self-Reward,0.0,0.0,0.0,1,6,5,2025,19,2025-05,0,0,0,0,25,0.0,0.0,0.0,0.0,11785.714285714286,165000.0,0.0,113200.0
2025-05-07,Hobi & Self-Reward,0.0,0.0,0.0,2,7,5,2025,19,2025-05,0,0,0,0,24,0.0,0.0,0.0,0.0,11785.714285714286,165000.0,0.0,85500.0
2025-05-08,Hobi & Self-Reward,0.0,0.0,0.0,3,8,5,2025,19,2025-05,0,0,0,0,23,0.0,0.0,0.0,0.0,11785.714285714286,165000.0,0.0,97700.0
2025-05-09,Hobi & Self-Reward,0.0,0.0,0.0,4,9,5,2025,19,2025-05,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,165000.0,0.0,135200.0
2025-05-10,Hobi & Self-Reward,0.0,0.0,0.0,5,10,5,2025,19,2025-05,1,0,0,0,21,0.0,0.0,0.0,0.0,0.0,165000.0,0.0,102500.0
2025-05-11,Hobi & Self-Reward,0.0,0.0,0.0,6,11,5,2025,19,2025-05,1,0,0,0,20,0.0,0.0,0.0,0.0,0.0,165000.0,0.0,124100.0
2025-05-12,Hobi & Self-Reward,0.0,0.0,0.0,0,12,5,2025,20,2025-05,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,165000.0,0.0,107000.0
2025-05-13,Hobi & Self-Reward,0.0,0.0,0.0,1,13,5,2025,20,2025-05,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,165000.0,0.0,137800.0
2025-05-14,Hobi & Self-Reward,0.0,0.0,0.0,2,14,5,2025,20,2025-05,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,165000.0,0.0,92700.0
2025-05-15,Hobi & Self-Reward,0.0,0.0,0.0,3,15,5,2025,20,2025-05,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,165000.0,0.0,115400.0
2025-05-16,Hobi & Self-Reward,0.0,0.0,0.0,4,16,5,2025,20,2025-05,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,165000.0,0.0,90500.0
2025-05-17,Hobi & Self-Reward,0.0,0.0,0.0,5,17,5,2025,20,2025-05,1,0,0,0,14,0.0,0.0,0.0,0.0,0.0,165000.0,0.0,152400.0
2025-05-18,Hobi & Self-Reward,0.0,0.0,0.0,6,18,5,2025,20,2025-05,1,0,0,0,13,0.0,0.0,0.0,0.0,0.0,165000.0,0.0,85500.0
2025-05-19,Hobi & Self-Reward,14600.0,1.0,14600.0,0,19,5,2025,21,2025-05,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,165000.0,0.0,125000.0
2025-05-20,Hobi & Self-Reward,0.0,0.0,0.0,1,20,5,2025,21,2025-05,0,0,0,0,11,14600.0,0.0,2085.714285714286,14600.0,1042.857142857143,179600.0,14600.0,85500.0
2025-05-21,Hobi & Self-Reward,0.0,0.0,0.0,2,21,5,2025,21,2025-05,0,0,0,0,10,0.0,0.0,2085.714285714286,14600.0,1042.857142857143,179600.0,14600.0,90500.0
2025-05-22,Hobi & Self-Reward,0.0,0.0,0.0,3,22,5,2025,21,2025-05,0,0,0,0,9,0.0,0.0,2085.714285714286,14600.0,1042.857142857143,179600.0,14600.0,129500.0
2025-05-23,Hobi & Self-Reward,0.0,0.0,0.0,4,23,5,2025,21,2025-05,0,0,0,0,8,0.0,0.0,2085.714285714286,14600.0,1042.857142857143,179600.0,14600.0,90500.0
2025-05-24,Hobi & Self-Reward,0.0,0.0,0.0,5,24,5,2025,21,2025-05,1,0,0,0,7,0.0,0.0,2085.714285714286,14600.0,1042.857142857143,179600.0,14600.0,106500.0
2025-05-25,Hobi & Self-Reward,0.0,0.0,0.0,6,25,5,2025,21,2025-05,1,0,0,0,6,0.0,0.0,2085.714285714286,14600.0,1042.857142857143,14600.0,14600.0,90500.0
